Date,Observe,Train,Test,Valid
2004-10-31,11161.13,11940.73046875,,
2004-11-07,7691.26,7953.11083984375,,
2004-11-14,6047.165,6170.45556640625,,
2004-11-21,5411.089333333333,4336.10986328125,,
2004-11-28,4775.013666666667,6479.54931640625,,
2004-12-05,4138.938,2545.96826171875,,
2004-12-12,3573.481666666667,1926.84228515625,,
2004-12-19,3184.018,2302.268310546875,,
2004-12-26,2554.134,2346.2490234375,,
2005-01-02,2097.2883333333334,2052.99951171875,,
2005-01-09,1930.3016666666665,1710.91357421875,,
2005-01-16,1642.9733333333336,1615.9986572265625,,
2005-01-23,1431.0866666666668,1337.60791015625,,
2005-01-30,1285.416,1186.4298095703125,,
2005-02-06,1387.152,1049.594482421875,,
2005-02-13,1372.364,1190.06884765625,,
2005-02-20,1378.404,1246.55517578125,,
2005-02-27,1188.284,1251.7239990234375,,
2005-03-06,1011.184,1063.1842041015625,,
2005-03-13,970.7183333333334,893.546630859375,,
2005-03-20,1020.2766666666666,929.354736328125,,
2005-03-27,926.7075000000001,984.0736083984375,,
2005-04-03,753.626,874.4545288085938,,
2005-04-10,1055.8760000000002,662.0780029296875,,
2005-04-17,938.262,1007.6240234375,,
2005-04-24,781.8216666666667,881.1610107421875,,
2005-05-01,1000.1899999999999,720.1395263671875,,
2005-05-08,928.402,994.6665649414062,,
2005-05-15,1059.9383333333333,852.9649047851562,,
2005-05-22,1099.362,1068.1834716796875,,
2005-05-29,1126.875,1091.765869140625,,
2005-06-05,1158.6,1048.6328125,,
2005-06-12,1124.83,1159.3726806640625,,
2005-06-19,1230.78,1088.1829833984375,,
2005-06-26,1064.15,1219.2857666015625,,
2005-07-03,4592.68,1029.30224609375,,
2005-07-10,4491.05,4906.7529296875,,
2005-07-17,20268.52,4523.53857421875,,
2005-07-24,27829.77,21632.634765625,,
2005-07-31,37322.08,28936.013671875,,
2005-08-07,25872.29,37407.625,,
2005-08-14,23862.97,25281.984375,,
2005-08-21,37317.25,22477.69921875,,
2005-08-28,42306.57,41084.83203125,,
2005-09-04,43619.99,43962.05859375,,
2005-09-11,34133.39,44428.90234375,,
2005-09-18,21378.82,30860.255859375,,
2005-09-25,18881.36,17007.46484375,,
2005-10-02,19187.17,19381.673828125,,
2005-10-09,20105.31,19746.80078125,,
2005-10-16,19719.73,19285.494140625,,
2005-10-23,15048.35,17116.4296875,,
2005-10-30,10887.17,10610.1259765625,,
2005-11-06,8869.915,8106.11865234375,,
2005-11-13,7460.783333333334,7806.99560546875,,
2005-11-20,6051.651666666667,6747.814453125,,
2005-11-27,4642.52,5278.5791015625,,
2005-12-04,4129.6900000000005,3163.44384765625,,
2005-12-11,4188.66,2580.6103515625,,
2005-12-18,3257.09,3209.427734375,,
2005-12-25,2796.652,2490.157958984375,,
2006-01-01,2412.0414285714287,2158.859130859375,,
2006-01-08,2032.6016666666667,1870.256103515625,,
2006-01-15,1769.155,1610.385986328125,,
2006-01-22,1462.1,1586.095703125,,
2006-01-29,1343.248,1159.653564453125,,
2006-02-05,1303.4483333333333,1076.555419921875,,
2006-02-12,1195.3066666666666,1121.12255859375,,
2006-02-19,1144.8733333333332,1015.3474731445312,,
2006-02-26,1079.5480000000002,1004.5810546875,,
2006-03-05,1011.1033333333335,949.60107421875,,
2006-03-12,932.6400000000003,908.9952392578125,,
2006-03-19,1082.73,866.0805053710938,,
2006-03-26,1031.304,1034.6827392578125,,
2006-04-02,583.2900000000001,975.4931030273438,,
2006-04-09,1061.4783333333332,477.0838623046875,,
2006-04-16,952.5519999999999,1057.8447265625,,
2006-04-23,514.67,912.7745361328125,,
2006-04-30,846.0300000000001,421.28741455078125,,
2006-05-07,992.594,874.1058959960938,,
2006-05-14,749.058,907.2378540039062,,
2006-05-21,1073.256666666667,721.7274780273438,,
2006-05-28,1101.1616666666669,1107.343505859375,,
2006-06-04,1196.4966666666667,1006.17724609375,,
2006-06-11,3279.63,1176.59423828125,,
2006-06-18,5014.82,3527.771240234375,,
2006-06-25,7550.7,5151.75439453125,,
2006-07-02,4768.75,7737.75634765625,,
2006-07-09,7804.93,4477.361328125,,
2006-07-16,10721.43,7849.39013671875,,
2006-07-23,20658.09,11438.7412109375,,
2006-07-30,23231.5,21670.560546875,,
2006-08-06,23603.98,24008.623046875,,
2006-08-13,27052.23,22605.541015625,,
2006-08-20,26787.44,27349.79296875,,
2006-08-27,26631.19,26723.1328125,,
2006-09-03,33874.56,27513.75,,
2006-09-10,37009.9,34952.6015625,,
2006-09-17,36713.2,36566.43359375,,
2006-09-24,36268.63,35896.6875,,
2006-10-01,27465.06,35297.1484375,,
2006-10-08,25957.35666666667,25116.626953125,,
2006-10-15,19319.7,25385.859375,,
2006-10-22,17767.34,18640.091796875,,
2006-10-29,16234.62,16031.4609375,,
2006-11-05,15592.81,15098.392578125,,
2006-11-12,11268.18,12676.1181640625,,
2006-11-19,5448.37,9071.728515625,,
2006-11-26,4487.5,2682.70849609375,,
2006-12-03,4142.293333333332,2976.328125,,
2006-12-10,3628.2283333333326,3221.6865234375,,
2006-12-17,3053.8416666666667,2795.5673828125,,
2006-12-24,2595.5333333333333,1927.3984375,,
2006-12-31,2307.7140000000004,951.38330078125,,
2007-01-07,1613.8433333333332,1471.37939453125,,
2007-01-14,1255.162,1262.0521240234375,,
2007-01-21,1221.1316666666667,967.3170166015625,,
2007-01-28,1225.9333333333334,990.369384765625,,
2007-02-04,1179.755,1008.5750122070312,,
2007-02-11,1118.821666666667,1020.7450561523438,,
2007-02-18,1040.3550000000002,915.1387329101562,,
2007-02-25,1409.734,867.34033203125,,
2007-03-04,1490.1200000000001,1368.044189453125,,
2007-03-11,1445.325,1463.55712890625,,
2007-03-18,1285.635,1374.6583251953125,,
2007-03-25,1210.371666666667,1221.041748046875,,
2007-04-01,1153.5049999999999,1130.7315673828125,,
2007-04-08,1207.3300000000002,1159.239501953125,,
2007-04-15,1373.3659999999998,1203.3096923828125,,
2007-04-22,1442.285,1344.271728515625,,
2007-04-29,1355.1566666666665,1371.911865234375,,
2007-05-06,1259.3674999999998,1272.5853271484375,,
2007-05-13,1161.715,1187.68603515625,,
2007-05-20,1404.6499999999999,1109.869140625,,
2007-05-27,1675.3799999999999,1411.49267578125,,
2007-06-03,2048.7299999999996,1686.5833740234375,,
2007-06-10,2039.58,2021.331787109375,,
2007-06-17,2263.84,1970.869384765625,,
2007-06-24,4296.06,2194.504150390625,,
2007-07-01,7388.63,4485.56884765625,,
2007-07-08,6429.705,7715.0185546875,,
2007-07-15,7012.5625,6303.89990234375,,
2007-07-22,7595.42,6879.55712890625,,
2007-07-29,26144.36,7631.3759765625,,
2007-08-05,37442.02,28052.27734375,,
2007-08-12,54216.79,39372.41015625,,
2007-08-19,41249.25,54982.5546875,,
2007-08-26,42236.27,39763.59765625,,
2007-09-02,41425.99,40463.80078125,,
2007-09-09,39902.89,44168.22265625,,
2007-09-16,42390.63,40621.6015625,,
2007-09-23,46362.98,44957.11328125,,
2007-09-30,39658.63,44013.4609375,,
2007-10-07,29938.67,36255.83203125,,
2007-10-14,30906.48,26908.966796875,,
2007-10-21,22174.49,29063.833984375,,
2007-10-28,17731.2,19988.560546875,,
2007-11-04,16317.3,16134.68359375,,
2007-11-11,9900.09,14380.3203125,,
2007-11-18,5859.81,5606.41650390625,,
2007-11-25,5291.5025000000005,3790.02587890625,,
2007-12-02,4723.195,3175.95458984375,,
2007-12-09,3979.5,2510.07958984375,,
2007-12-16,3612.6499999999996,2824.05029296875,,
